run_id,session_id,task_id,kind,outcome,start_utc,end_utc,steps,tool_calls,api_attempts,failed_attempts,prompt_tokens,cached_tokens,completion_tokens,cost_usd,waste_tokens,waste_usd,repeat_calls,no_new_info,tool_errors,retry_storms,truncated
20260923_234022_9fc0de#overhead#0,20260923_234022_9fc0de,,overhead,n/a,2026-09-23T16:43:52.296Z,2026-09-24T11:43:18.195Z,44,55,62,2,917837,1750113,19895,0.100826,94330,0.019111,3,3,0,0,0
20260923_234022_9fc0de#PSI-004#1,20260923_234022_9fc0de,PSI-004,task,unverified,2026-09-24T11:43:40.382Z,2026-09-24T14:27:31.852Z,59,52,102,27,2813726,3738100,29625,0.519633,1389097,0.225422,1,0,6,2,1
20260923_234022_9fc0de#PSI-001#2,20260923_234022_9fc0de,PSI-001,task,unverified,2026-09-24T14:27:31.852Z,2026-09-25T02:05:07.081Z,53,48,443,362,5205977,3756633,29087,0.656701,1887500,0.328909,4,2,4,5,0
20260923_234022_9fc0de#PSI-002#3,20260923_234022_9fc0de,PSI-002,task,unverified,2026-09-25T02:11:33.315Z,2026-09-25T02:24:26.337Z,42,41,56,1,1412874,5566982,20056,0,251664,0,3,1,2,0,0
20260925_112516_e4bfbf#overhead#0,20260925_112516_e4bfbf,,overhead,n/a,2026-09-25T04:27:24.703Z,2026-09-25T06:34:35.259Z,85,76,211,3,3041919,12483882,49900,0.711674,168013,0.006022,5,1,11,0,0
20260925_133437_72ded1#overhead#0,20260925_133437_72ded1,,overhead,n/a,2026-09-25T06:34:59.607Z,2026-09-25T06:49:22.928Z,33,37,75,18,1507178,3027342,18867,0.345142,80825,0.005273,1,0,1,0,0
20260926_084210_db67be28#overhead#0,20260926_084210_db67be28,,overhead,n/a,2026-09-26T01:43:13.664Z,2026-09-26T04:12:45.444Z,51,41,197,1,2346545,19723269,72822,0,0,0,0,0,1,0,0
20260926_084210_db67be28#PSI-050#1,20260926_084210_db67be28,PSI-050,task,success,2026-09-26T04:12:52.011Z,2026-09-26T04:22:01.581Z,46,44,49,1,565436,3198824,17559,0,0,0,0,0,3,0,0
20260926_084210_db67be28#PSI-051#2,20260926_084210_db67be28,PSI-051,task,success,2026-09-26T04:22:09.927Z,2026-09-26T05:09:38.894Z,60,58,71,0,755006,7496479,28875,0,0,0,3,0,7,0,0
20260926_084210_db67be28#PSI-052#3,20260926_084210_db67be28,PSI-052,task,success,2026-09-26T05:11:12.824Z,2026-09-26T05:45:09.846Z,22,21,40,0,1234946,4602429,15307,0,0,0,0,0,2,0,0
20260926_084210_db67be28#PSI-053#4,20260926_084210_db67be28,PSI-053,task,success,2026-09-26T05:45:21.979Z,2026-09-26T08:23:44.978Z,41,37,54,2,2161441,6656894,19012,0,0,0,1,0,2,0,0
20260926_084210_db67be28#overhead#5,20260926_084210_db67be28,,overhead,n/a,2026-09-26T08:23:56.010Z,2026-09-26T08:49:42.672Z,29,26,52,11,3276281,4186152,13996,0.388742,1303664,0.191914,1,0,2,0,0
20260926_084210_db67be28#PSI-061#6,20260926_084210_db67be28,PSI-061,task,success,2026-09-26T08:58:27.852Z,2026-09-26T09:42:01.535Z,60,58,85,20,6091358,2087351,35401,1.10006,1963717,0.280952,1,0,1,0,0
20260926_084210_db67be28#PSI-060#7,20260926_084210_db67be28,PSI-060,task,failed,2026-09-26T09:44:13.060Z,2026-09-26T10:03:51.388Z,18,16,25,1,1996444,128,8526,0.401457,2005098,0.401457,0,0,2,0,0
20260926_084210_db67be28#overhead#8,20260926_084210_db67be28,,overhead,n/a,2026-09-26T10:05:50.750Z,2026-09-26T10:05:50.750Z,1,1,1,0,84688,0,626,0.017188,0,0,0,0,0,0,0
20260926_084210_db67be28#PSI-061#9,20260926_084210_db67be28,PSI-061,task,success,2026-09-26T10:06:17.364Z,2026-09-26T10:25:31.699Z,22,22,38,14,3247241,3522257,9360,0.457897,2884643,0.326505,0,0,1,0,0
20260926_084210_db67be28#PSI-067#10,20260926_084210_db67be28,PSI-067,task,success,2026-09-26T10:26:04.781Z,2026-09-26T13:50:33.606Z,206,197,319,66,11736722,23212166,154016,2.411982,10601987,0.875727,2,0,6,0,1
20260926_084210_db67be28#PSI-070#11,20260926_084210_db67be28,PSI-070,task,success,2026-09-26T13:51:02.170Z,2026-09-26T14:46:57.703Z,54,52,107,48,2972540,14693836,47019,0.684811,8275826,0.507515,7,0,1,0,0
